中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,40 ms,476 Mbps,61030 kB/s
198.46.188.190,443,2a09:bac1:76c0:118::312:1c,US,Toronto,隧道,23 ms,120 Mbps,15462 kB/s
34.82.76.253,443,34.145.7.247,US,Seattle,隧道,71 ms,291 Mbps,37273 kB/s
193.122.197.111,443,193.122.197.111,,colo.txt:Ashburn,中转,0 ms,118 Mbps,15155 kB/s
35.197.23.75,443,34.19.58.219,US,Seattle,隧道,71 ms,279 Mbps,35737 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,177 ms,248 Mbps,31744 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,73 ms,340 Mbps,43520 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,53 ms,534 Mbps,68403 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,86 ms,2 Mbps,297 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,70 ms,281 Mbps,36044 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,65 ms,47 Mbps,6123 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,65 ms,481 Mbps,61644 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,253 Mbps,32460 kB/s
35.230.79.26,443,34.19.58.219,US,Seattle,隧道,76 ms,276 Mbps,35430 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,71 ms,296 Mbps,37888 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,31 ms,522 Mbps,66867 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,185 ms,265 Mbps,33996 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,108 ms,47 Mbps,6082 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,96 ms,200 Mbps,25702 kB/s
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,35 ms,36 Mbps,4724 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,84 ms,32 Mbps,4187 kB/s
152.67.44.30,443,152.67.44.30,BR,S
