中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,24 ms,532 Mbps,68198 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,77 ms,388 Mbps,49664 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,46 ms,664 Mbps,85094 kB/s
129.146.7.98,443,2a09:bac5:60ef:78::c:34b,US,58 Mbps,7494 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,82 ms,276 Mbps,35430 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,51 ms,57 Mbps,7377 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,104 ms,341 Mbps,43724 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,89 ms,264 Mbps,33792 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,18 ms,1 Mbps,255 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,120 ms,247 Mbps,31641 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,81 ms,373 Mbps,47820 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,3 ms,76 Mbps,9761 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,20 ms,70 Mbps,8977 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,72 ms,388 Mbps,49766 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,81 ms,46 Mbps,5962 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,103 ms,225 Mbps,28876 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,98 ms,237 Mbps,30412 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,107 ms,41 Mbps,5368 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,78 ms,317 Mbps,40652 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,104 ms,275 Mbps,35225 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,110 ms,33 Mbps,4227 kB/s
130.61.23.77,443,130.61.23.77,DE,152 Mbps,19456 kB/s
47.90.141.204,443,91.149.239.64,US,Los Angeles,隧道,8 ms,37 Mbps,4760 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,85 ms,280 Mbps,35942 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,89 ms,10 Mbps,1387 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,6 ms,151 Mbps,19353 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,106 ms,42 Mbps,5413 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,25 ms,26 Mbps,3368 kB/s
144.22.252.124,443,144.22.252.124,BR,S
