中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,29 ms,660 Mbps,84480 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,68 ms,272 Mbps,34918 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,90 ms,209 Mbps,26828 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,58 ms,39 Mbps,5102 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,244 Mbps,31334 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,83 ms,48 Mbps,6176 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,74 ms,290 Mbps,37171 kB/s
150.230.34.116,443,150.230.34.116,US,San Jose,中转,71 ms,84 Mbps,10752 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,18 ms,378 Mbps,48435 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,22 ms,648 Mbps,82944 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,159 ms,244 Mbps,31334 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,146 ms,313 Mbps,40140 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,68 ms,276 Mbps,35328 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,64 ms,279 Mbps,35737 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,73 ms,280 Mbps,35942 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,49 ms,78 Mbps,10035 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,83 ms,49 Mbps,6352 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,82 ms,35 Mbps,4480 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,7 ms,55 Mbps,7101 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,91 ms,231 Mbps,29593 kB/s
152.67.153.152,443,2a0b:21c0:100a:1b5:0:ee28:3284:a41a,DE,Frankfurt,隧道,122 ms,209 Mbps,26828 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,82 ms,229 Mbps,29388 kB/s
129.159.34.122,443,129.159.34.122,US,San Jose,中转,74 ms,42 Mbps,5410 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,91 ms,208 Mbps,26726 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,77 ms,286 Mbps,36659 kB/s
138.3.254.39,443,138.3.254.39,,colo.txt:Frankfurt,中转,0 ms,206 Mbps,26419 kB/s
129.159.32.14,443,129.159.32.14,US,San Jose,中转,77 ms,287 Mbps,36761 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,90 ms,184 Mbps,23552 kB/s
35.230.79.26,443,34.169.47.4,US,Seattle,隧道,66 ms,351 Mbps,44953 kB/s
132.226.31.178,443,2a09:bac5:60ef:1173::1bd:99,US,Los Angeles,隧道,53 ms,43 Mbps,5617 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,65 ms,705 Mbps,90316 kB/s
35.197.23.75,443,34.169.47.4,US,Seattle,隧道,66 ms,336 Mbps,43008 kB/s
165.1.74.145,443,165.1.74.145,US,San Jose,中转,81 ms,292 Mbps,37376 kB/s
130.162.228.90,443,130.162.228.90,DE,Frankfurt,中转,106 ms,47 Mbps,6111 kB/s
141.148.227.19,443,141.148.227.19,NL,Amsterdam,中转,94 ms,238 Mbps,30515 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,94 ms,47 Mbps,6022 kB/s
130.162.186.254,443,98.98.156.22,DE,Frankfurt,隧道,97 ms,112 Mbps,14438 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,89 ms,43 Mbps,5570 kB/s
152.70.49.115,443,152.70.49.115,NL,Amsterdam,中转,92 ms,8 Mbps,1028 kB/s
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,185 ms,77 Mbps,9932 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,53 ms,21 Mbps,2779 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,190 ms,78 Mbps,10035 kB/s
141.147.71.19,443,2a0b:21c0:1007:1cb:0:a421:8dd0:74d1,DE,Frankfurt,隧道,97 ms,149 Mbps,19148 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,165 ms,98 Mbps,12595 kB/s
158.101.142.100,443,2a09:bac5:4428:dc::16:22a,JP,Tokyo,隧道,217 ms,62 Mbps,8004 kB/s
129.159.194.174,443,129.159.32.14,US,San Jose,隧道,90 ms,37 Mbps,4781 kB/s
141.148.230.140,443,2606:f240:f00:dd8d:0:27c1:cd9f:3ab9,US,Frankfurt,隧道,105 ms,123 Mbps,15769 kB/s
152.67.249.123,443,152.67.249.123,US,San Jose,中转,75 ms,136 Mbps,17510 kB/s
130.162.164.181,443,163.123.193.5,DE,Frankfurt,隧道,202 ms,169 Mbps,21708 kB/s
138.2.122.191,443,138.2.122.191,KR,Seoul,中转,183 ms,38 Mbps,4894 kB/s
152.69.171.12,443,152.69.171.12,AU,Sydney,中转,202 ms,33 Mbps,4315 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,227 ms,87 Mbps,11161 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,197 ms,40 Mbps,5130 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,190 ms,74 Mbps,9558 kB/s
146.56.101.141,443,146.56.101.141,KR,Seoul,中转,189 ms,33 Mbps,4264 kB/s
138.2.105.213,443,138.2.105.213,SG,Singapore,中转,220 ms,68 Mbps,8726 kB/s
158.180.65.145,443,2603:c024:e:6666::6666,KR,Seoul,隧道,184 ms,34 Mbps,4468 kB/s
140.84.179.114,443,140.84.179.114,MX,Dallas,中转,49 ms,242 Mbps,31027 kB/s
150.230.249.48,443,150.230.249.48,KR,Seoul,中转,186 ms,73 Mbps,9359 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,213 ms,32 Mbps,4112 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,85 ms,223 Mbps,28569 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,229 ms,2 Mbps,345 kB/s
192.9.158.188,443,2a09:bac5:6442:1246::1d2:70,US,San Jose,隧道,131 ms,183 Mbps,23449 kB/s
158.101.141.78,443,158.101.141.78,JP,Tokyo,中转,208 ms,38 Mbps,4930 kB/s
158.178.238.239,443,158.178.238.239,SG,Singapore,中转,220 ms,34 Mbps,4449 kB/s
129.150.50.63,443,129.150.50.63,SG,Singapore,中转,223 ms,75 Mbps,9608 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,222 ms,34 Mbps,4371 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,199 ms,73 Mbps,9463 kB/s
144.22.252.124,443,144.22.252.124,BR,S
