中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,35 ms,412 Mbps,52838 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,26 ms,1112 Mbps,142336 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,64 ms,407 Mbps,52121 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,90 ms,282 Mbps,36147 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,57 ms,511 Mbps,65433 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,79 ms,281 Mbps,36044 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,40 ms,429 Mbps,54988 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,68 ms,343 Mbps,43929 kB/s
35.230.79.26,443,34.168.250.177,US,Seattle,隧道,75 ms,369 Mbps,47308 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,88 ms,222 Mbps,28467 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,82 ms,44 Mbps,5640 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,102 ms,167 Mbps,21401 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,92 ms,47 Mbps,6135 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,79 ms,318 Mbps,40755 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,64 ms,247 Mbps,31641 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,76 ms,264 Mbps,33894 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,114 ms,220 Mbps,28160 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,127 ms,217 Mbps,27852 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,79 ms,86 Mbps,11059 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,90 ms,238 Mbps,30515 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,89 ms,244 Mbps,31334 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,106 ms,294 Mbps,37683 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,95 ms,84 Mbps,10752 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,92 ms,45 Mbps,5872 kB/s
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,77 ms,272 Mbps,34816 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,101 ms,377 Mbps,48332 kB/s
35.197.23.75,443,34.168.250.177,US,Seattle,隧道,97 ms,335 Mbps,42905 kB/s
192.9.158.188,443,192.9.158.188,US,San Jose,中转,111 ms,241 Mbps,30924 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,85 ms,106 Mbps,13619 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,106 ms,306 Mbps,39219 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,92 ms,36 Mbps,4662 kB/s
138.2.131.209,443,163.123.193.7,DE,Frankfurt,隧道,106 ms,233 Mbps,29900 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,88 ms,258 Mbps,33075 kB/s
129.146.220.190,443,2603:c020:b:c87e:e94d:56e:f44a:60ac,US,Los Angeles,隧道,102 ms,100 Mbps,12800 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,113 ms,59 Mbps,7579 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,85 ms,50 Mbps,6479 kB/s
152.67.65.201,443,152.67.65.201,CH,Zurich,中转,109 ms,41 Mbps,5366 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,92 ms,132 Mbps,16998 kB/s
129.151.244.9,443,129.151.244.9,FR,Paris,中转,101 ms,221 Mbps,28364 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,164 ms,115 Mbps,14745 kB/s
152.67.44.30,443,152.67.44.30,BR,São Paulo,中转,117 ms,45 Mbps,5772 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,191 ms,44 Mbps,5730 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,236 ms,29 Mbps,3742 kB/s
146.56.161.229,443,146.56.161.229,KR,Seoul,中转,195 ms,83 Mbps,10649 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,247 ms,55 Mbps,7066 kB/s
144.24.80.56,443,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,224 ms,84 Mbps,10854 kB/s
138.2.122.191,443,138.2.122.191,KR,Seoul,中转,191 ms,39 Mbps,5081 kB/s
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,233 ms,32 Mbps,4209 kB/s
129.151.148.35,443,2a09:bac5:12:25a::3c:18,AE,Dubai,隧道,201 ms,38 Mbps,4902 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,219 ms,72 Mbps,9319 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,202 ms,100 Mbps,12902 kB/s
146.56.46.84,443,146.56.46.84,KR,Seoul,中转,233 ms,36 Mbps,4728 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,220 ms,2 Mbps,307 kB/s
152.70.71.23,443,152.70.71.23,IN,Singapore,中转,215 ms,29 Mbps,3792 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:10e,KR,Seoul,隧道,221 ms,31 Mbps,4090 kB/s
8.218.65.62,443,8.218.65.62,HK,Hong Kong,中转,234 ms,22 Mbps,2894 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,214 ms,29 Mbps,3819 kB/s
152.70.69.199,443,2a09:bac1:36a0:40::29e:1e,IN,Mumbai,隧道,197 ms,23 Mbps,2950 kB/s
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,239 ms,27 Mbps,3505 kB/s
129.159.130.38,443,129.159.130.38,IL,Singapore,中转,186 ms,19 Mbps,2553 kB/s
3.138.59.154,443,3.130.64.226,US,,隧道,39 ms,258 Mbps,33075 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,227 ms,29 Mbps,3812 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,217 ms,3 Mbps,405 kB/s
18.191.122.211,443,3.130.64.226,US,,隧道,44 ms,708 Mbps,90624 kB/s
35.183.163.195,443,3.96.190.196,CA,,隧道,42 ms,952 Mbps,121856 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,89 ms,256 Mbps,32768 kB/s
54.203.85.46,443,204.110.220.255,US,,隧道,85 ms,79 Mbps,10137 kB/s
44.230.218.23,443,52.35.136.129,US,,隧道,104 ms,0 Mbps,67 kB/s
204.110.220.3,443,204.110.220.236,US,,隧道,100 ms,38 Mbps,4913 kB/s
47.57.14.118,443,198.11.178.111,US,San Jose,隧道,234 ms,1 Mbps,187 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,223 ms,59 Mbps,7563 kB/s
150.230.149.208,443,150.230.149.208,DE,,中转,103 ms,62 Mbps,8008 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,17 ms,52 Mbps,6741 kB/s
3.67.232.136,443,3.68.128.205,DE,,隧道,104 ms,313 Mbps,40140 kB/s
103.137.63.3,443,122.118.152.203,TW,,隧道,198 ms,80 Mbps,10240 kB/s
3.66.115.225,443,3.68.128.205,DE,,隧道,120 ms,264 Mbps,33792 kB/s
35.157.240.237,443,3.68.128.205,DE,,隧道,124 ms,305 Mbps,39116 kB/s
18.159.105.97,443,3.68.128.205,DE,,隧道,110 ms,267 Mbps,34201 kB/s
18.156.209.101,443,3.68.128.205,DE,,隧道,102 ms,267 Mbps,34201 kB/s
